label,text
VeryHight,"RT @g1: Exército começa a atuar no ES após dia de caos, violência e medo https://t.co/OtfYGZbnqH #G1 https://t.co/tS4lXnoBpk"
Not Violence,@SSERMULHER http://t.co/3oa3FelA7p#mudabrasil
VeryHight,"RT @DDalertaRio: #eSeu? VW Fox prata, KQR 5012, abandonado em SJ de Meriti, Indiara, Rua Pampas esq Maria do Carmo. #denuncie22531177"
Not Violence,"O Pr. Luciano Subirá traz uma palavra sobre o Espírito Santo em nós, e a importância Dele em nossa vida. https://t.co/hoEKytjQu6"
Not Violence,#PROTESTO CONTRA O SUTIÃ DE BOJOchega de ser enganado!
Not Violence,#vemprarua -1.jpg http://t.co/HC6AS54raK
High,"RT @RenatissimaRe: Ary Parreiras c Roberto Silveira, Icaraí, Niterói. Muita polícia. Carro capotado. Foi muito tiro!"
Not Violence,@jsergiojunior13 Talvez eu alugue alguma casa da zona sul. Ou vá pra outro lugar.
VeryHight,"RT @PadreMiguelNews: FIAT/PALIO FIRE q se encontra na R.Coronel Corte Real,em Bangu , consta como roubado @LeiSecaRJ"
Not Violence,Booom Diaaa povo paulista!! Bora marchar!!!!! #marchaprajesus2013 #vemprarua #DeuseBrasileiro @ Marcha… http://t.co/YR1AFFEYvw
Not Violence,Sabotage - Na zona sul ��
Not Violence,posta #vemprarua e até agora não esteve presente em nenhum protesto
Not Violence,TCU encontra falhas na distribuição de merenda escolar no ES https://t.co/21W6cuQfRZ
Not Violence,"Recadinho para os artistóides Zona Sul 2: depois que reciclagem o lixo (o acústico não tem jeito) do RiR, aceito conversar com vocês."
VeryHight,"Tiros na Vila Kennedy, nas localidades conhecidas como Malvinas e Congo (15h44). Os tiros na regi\u00e3o come\u00e7aram as 9h. #TirosRJ"
Not Violence,Espírito Santo SOS #CHAMAOEXERCITO SOCORROOOOOOOOOOOOOOOOOOOOOO https://t.co/C8KzQqmBr9
Not Violence,"Concordo totalmente a BME, PMES e ROTAM tem que descer a borracha nesses vândalos vagabundos e assaltantes #protestobr #changebrazil"
Not Violence,"RT @PMERJ: ����#5BPM encontra senhor perdido e sem memória. Com ajuda da #5DP, localiza telefone da sua filha e o leva para casa. #PMERJ #Ser…"
Not Violence,Gostei de um vídeo @YouTube de @cauemoura https://t.co/lIdcZxwKUC CAOS NO ESPÍRITO SANTO
VeryHight,"#EhSeu ? RT @PadreMiguelNews: Este Peugeot /206 encontra-se na R.Toulon,em Padre Miguel e no SINESP consta c/roubado"
High,"@_estelacarvalho ol\u00e1, Estela! pode nos informar em que local e hor\u00e1rio foram esses tiros?"
High,RT @LeiSecaRJ: RT @SeuDionisio: Pra variar hoje de manhã tiros na Cidade de Deus !
Not Violence,@marciofla T\u00e1 puxado!
Not Violence,Acidente em Linha Amarela #TransitoRJ continua atrasando o trânsito em 28m a mais que o normal https://t.co/3hg2LkNpfK
VeryHight,"Tiros em Vaz Lobo, nas imedia\u00e7\u00f5es do supermercado Mundial (14:55) #TirosRJ"
Not Violence,JÁ QUE É BOMBA DE EFEITO MORAL JOGA NO CONGRESSO NACIONAL! #VemPraRua http://t.co/iEWhn4cBu7
Not Violence,RT @gloriafperez: Rocinha... https://t.co/hgnk1IdOaI
Not Violence,A cultura do desarmamento funcionou no Espírito Santo? #ESpedesocorro | ... https://t.co/JqBrynyug5 via @YouTube
Not Violence,https://t.co/vG0hQEqWgm
Not Violence,RT @_Ioen: Indo comprar pão no espírito santo https://t.co/LuZOq4vbGx
Not Violence,@pritch4rd http://t.co/3oa3FelA7p#mudabrasil
VeryHight,Tiros em Costa Barros (00:07) #TirosRJ
Low,#ogiganteacordou Bandidos Massacrando a população. SEGURANÇA JÁ !!!!!!!!!!!!!
High,"RT @LeiSecaRJ: RT @lipe85rj: tiroteio agora a pouco na descida do viaduto de Ramos, próximo ao #brt Cacique de Ramos. PRF no local."
Not Violence,RT @kobarestart: #VemPraRua Na foto: baronelaris Local: Av. Paulista - São Paulo/SP Data: 18/06/2013 http://t.co/KrKX1rrlc8
Not Violence,Grupo de estudos BJCP Zona Sul... #LateC... (Belgian Dark Strong Ale) https://t.co/410nupsjHZ #photo
VeryHight,Tiros em Manguinhos (09:15) #TirosRJ
VeryHight,"CIDADE DE DEUS | Devido ao fechamento da Est Mal Miguel Salazar M Morais, motoristas devem utilizar a Est. dos Bandeirantes e Linha Amarela."
Not Violence,"RT @lucasvon: O Brasil inteiro na rua, até o Luxa. Agora vai. #vemprarua #ogiganteacordou"
Not Violence,féeee é zona sul 021 é cabelin na vozz
Not Violence,RT @memmarquess: Eu to rindo muito socorro KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK o melhor do espírito santo é o ca…
VeryHight,RT @RevistaISTOE: Polícia encontra corpos carbonizados e granadas na Rocinhahttps://t.co/QyDgz4U4d3 https://t.co/js7MefDDMb
VeryHight,"RT @jornaldaband: O BOPE realiza uma operação na comunidade da Rocinha, zona Sul do Rio de Janeiro. Os detalhes às 19h20. https://t.co/Mzbk…"
Not Violence,"RT @boxeando: Yamaguchi Falcão - Espírito Santo, BrasilWBC Latino Champion Bronze Medal at the London OlympicsBoxeando Champion https://…"
Not Violence,"Minha família é um bando de espírito santo de orelha, puta merda"
Not Violence,@_estelacarvalho obrigada!
VeryHight,Evite Grajaú-Jacarepaguá. A via teve interdições após carro da PM ser atacado. Registro do ouvinte Leonardo Pangaio.
Not Violence,"Não é pelo R$ 0,20 centavos ... é pelos 20cm .... #VemPraRUA"
VeryHight,Atendimentos na linha de tiro no Rio: Em Costa Barros paciente foi baleada dentro do banheiro de unidade de sa\u00fade\u2026 https://t.co/7dkY2oTG2V
Not Violence,"Esse é o morro dá Rocinha, a verdade prevalece ����"
Medium,"RT @huffpostbrasil: Com 1 roubo a cada 4 minutos, Rio teme repetir colapso na segurança do Espírito Santo https://t.co/4gTl197886 https://t…"
Not Violence,Santo Espírito és bem vindo aqui ❤��
Not Violence,RT @LeiSecaRJ: RT @geniorj: Rua 7 de setembro
Not Violence,@daredevilosa ol\u00e1! pode informar onde foram os tiros?
VeryHight,"RT @PadreMiguelNews: Carro roubado abandonado na rua Santa Marta, Realengo próximo a Capitão Teixeira. @LeiSecaRJ"
Not Violence,RT @glowsykes: @wantedfcks @fckswanted VOU PROTESTAR #FORATRETA #VEMPRARUA SEM TRETAS GALERA SO TETAS
Not Violence,"Câmara inicia a votação da #PEC37, todos de olho!! http://t.co/ZJC5lzpLbr"
Not Violence,RT @Amparanimal: ADOÇÃO RIO DE JANEIROLia foi encontrada abandonada na zona sul do Rio de Janei... https://t.co/UHIv8HqemT https://t.co/H9…
Not Violence,Rocinha hoje https://t.co/LSr8CO8i8s
Not Violence,"RT @drgomes_11: Em nome do Soares, do Casillas e do Espírito Santo"
Not Violence,"RT @hermanschlick: R$0,20 é só a ponta do iceberg #mudabrasil http://t.co/IrBUI2nLN7"
Not Violence,"mano ? Cheira-me é que vocês estão a 9 pontos , dorme bem reza por jesus e sonha por espírito santo , abraço ! https://t.co/TzLkYvgf2F"
Not Violence,ATUALIZAÇÃO: Linha Amarela ainda engarrafada. Somará 32m ao seu tempo de deslocamento #TransitoRJ https://t.co/dSOKYq9D2P
Not Violence,@santoselisa Obrigada.
Medium,"RT @JornalOGlobo: ‘Apesar do nome, sou capitalista’, diz Karl Max, preso por tráfico de drogas no Rio. http://t.co/0OnFL541w5 http://t.co/T…"
Not Violence,"""Imagina só o fim da repressão você falar de maconha e de liberdade de expressão."" #VemPraRua… http://t.co/yxarcbRGEk"
Not Violence,Lenka visar #upp sitt kök https://t.co/yCzZszsAqY
VeryHight,"RT @LeiSecaRJ: RT @mvdomingues: Muitas bombas de efeito moral sendo jogadas contra os manifestantes, nos arredores da ALERJ"
Not Violence,"Espírito Santo nos trends,eu tô é morrendo de medo,se amanhã continuar assim não saio de casa nem a pau"
Not Violence,“@VladimirAras: É pena a @oab_brasil ter ficado a favor da #PEC37 . Eu e muitos advogados não acompanhamos esta posição da nossa entidade.
Not Violence,"RT @clebersantanam: Espírito Santo, proteja o estado que leva o Teu nome"
Not Violence,"Aliás, o próprio plebiscito já deveria ser por voto facultativo. #vemprarua #protestosbr"
Not Violence,O Vídeo que a Rede Globo foi proibida de repetir !: http://t.co/B1vgU4o7rO via @youtube #vemprarua #acordabrasil
High,RT @AlertaCascadura: Muitos tiros estão sendo ouvidos na região de Thomas Coelho e Eng da Rainha. Evitem a região Clima muito tenso.
Not Violence,Eu sei que me livraste das acusações Mas estou cansado de chorarEspírito Santo vem me renovar Só tua presença pra me alegrar..��♥️����
Not Violence,PM do Rio de Janeira ameaça greve igual à do Espírito Santo https://t.co/3Wwek3jMVw
Not Violence,@RJFicaligado @AlertaAssaltoRJ
Not Violence,"♥♡ @ Santa Teresa, Espirito Santo https://t.co/T0nvdTkcEo"
VeryHight,Assalto em \u00f4nibus no Centro do Rio deixou um morto e dois feridos https://t.co/pS2cJwD9Xg #TirosRJ
Not Violence,RT @ijackyyou: I'm going to join the protests �� #changebrazil
Not Violence,Eu me achava idiota por ir lá para cg pra psicólogaMinha avó vai pra rocinha
VeryHight,"Uma tentativa de assalto a um posto de combust\u00edvel terminou com um baleado na Rua 24 de Maio, no Riachuelo #TirosRJ"
Not Violence,@JohncardosoJm ol\u00e1! sabe informar em que local da Posse?
Not Violence,Sair de que jeito se nem sei o rumo para onde vou. Muito vagamente me lembro que estou em uma boate aqui na zona sul.OOOOOH DESGRAÇA!
Not Violence,RT @viinloserville: POA-RS (ZONA SUL)esse gatinho extremamente dócil foi abandonado perto de casa e está procurando por um humano pra dar…
Not Violence,"RT @conexaocristao: Ore, leia a Bíblia, coloque sua música favorita, sinta todas as emoções possíveis, sinta o Espírito Santo te encher de…"
VeryHight,"Vejo o rosto dele nos outros', diz adolescente vítima de estupro na zona sul de SP; homem foi preso… https://t.co/W2E3JQKaSa"
VeryHight,"RT@disque_denuncia:#barricadasTraficantes usam manilhas para fechar a entrada da Rua Nicolau Tolentino, em Boaçu, São Gonçalo, RJ#helpSG"
VeryHight,RT @DDalertaRio: Duas pessoas atingidas p/bala perdida em perseguição Rocha Miranda http://ow.ly/AgDj3011vxq #DD
VeryHight,#ALERTA_ASSALTO RT @Pedro_Ludgerio: astra prata fazendo a limpa nos pedestres no centro de nilopolis.
Not Violence,"RT @JerleyFernandes: Moça, você é linda porque você é cheia do Espírito Santo."
Not Violence,"RT @Tonkiel: Espírito Santo sitiada, presídios em colapso, advogado do PCC no STF; mas o maior absurdo é o lula discursando no velório da e…"
VeryHight,"Tiros no Morro do Juramento, Vicente de Carvalho (10:30) #TirosRJ"
Not Violence,"RT @Tonilinhares_: Governador em exercício/Espírito Santo d/PSDB, que não paga reajuste p/PM, ia para atos d/MBL pedindo Lula na cadeia htt…"
Not Violence,"@doityourcast eu achei longe sim, mas é pq eu tava hospedada na zona sul. foi perrengue pra ir e pra voltar"
Not Violence,"Atualiza\u00e7\u00e3o #Mangueira: Via liberada. Reten\u00e7\u00f5es nas ruas Ana Neri, S. Luiz Gonzaga,Sen Bernardo Monteiro e Av Dom H\u2026 https://t.co/8mG4UXSXap"
Not Violence,RT @_LateRecalque: Quem é o animal mesmo ? #VerásQueUmFilhoTeuNãoFogeALuta #GritaSemTerMedoBrasil #MudaBrasil #PorUmBrasilMelhor http://t.c…
Not Violence,Eu moro no morro e ela na zona sul
Not Violence,RT @CerinottiIsis: Veículo enguiçado no acostamento em São Conrado tumultua a saída da Barra sentido zona sul no elevado! @OperacoesRio
Not Violence,Gente olha a ignorância que cura gay isso não existi #acordaBrasil
Not Violence,O que querem os militares em greve do Espírito Santo via @UOLNoticias @UOL https://t.co/iQX9EskECz
Not Violence,RT @PaulinhoPiol: Hj no Espírito Santo é assim https://t.co/zcVeQzhCsf
VeryHight,"Moradores relatam que uma mulher foi baleada durante tiroteio no Complexo do Alemão, foi socorrida porém chegou sem vida no UPA @LeiSecaRJ"
Not Violence,"Nunca antes na historia desse país, os #Politicos trabalharam tanto!!!!! hahahahaha \o/\o/\o/ #VemPraRua"
Not Violence,"~Em breve caríssimos, algumas palavras de sabedoria... http://t.co/d3cnmXcB84 @Padre_Paulo #AcordaBrasil #SaiaDasRuas"
Not Violence,#NP Bukan Cinderella - @Cherrybelleindo #MPL
VeryHight,RT @LeiSecaRJ: RT @DedelRJ: Galera ai de Bangu acabaram de roubar um Grand Siena de uma amiga na Estrada do. engenhoPlaca LRS 9609 #VcViu ?
High,RT @LeiSecaRJ: RT @NiteroiRadar: Via DM- Tiroteio continua. Evitem a Mario Vianna e Estr da Garganta.
Not Violence,ATUALIZAÇÃO: R. Piauí deve ser evitada. Tempo de espera 21m maior que a média #TransitoRJ https://t.co/pr1Fpj4Fva https://t.co/surdIyGUC7
Not Violence,"RT @ThiagoConc: O caos tomou o Espírito Santo, mas o livro que Temer tá lendo é mais importante https://t.co/5VLKrn6W6N"
VeryHight,Policiais da #UPPBatan recuperaram um caminhão com carga de roupas avaliada em R$ 182 mil. Ocorrência na 34ª DP.
VeryHight,"RT @thiagocarioca01: EVITEM A RUA LEOLPOLDINA DE OLIVEIRA FECHADA EM MADUREIRA TIROS E PERSEGUIÇÃO VARIAS VTR, RETENÇÃO NA ED ROMERO PARADO"
Not Violence,Gostei de um vídeo @YouTube de @cauemoura https://t.co/Ntq2X3ByY3 CAOS NO ESPÍRITO SANTO
Not Violence,"RT @DesconhecidosF: Marcelo Rezende tem falência múltipla de órgãos. Com câncer, jornalista está internado no hospital Moriah, Zona Sul de…"
Not Violence,"RT @JornalOGlobo: Se você ainda não viu, veja o melhor da noite desta quinta: terremoto no México e a guerra de versões na Rocinha. https:/…"
VeryHight,"Tiros em Anchieta, nas proximidades da Pra\u00e7a do Carneiro #TirosRJ (16:22) https://t.co/TOPwKCUYmW"
VeryHight,RT @g1rio: Nem ordenou invasão da Rocinha de dentro de presídio federal em Rondônia https://t.co/7Icv1TUbDC
Not Violence,"Nuno Espírito Santo. “Era fundamental ganhar este jogo"" https://t.co/UtG700UHhh"
Not Violence,CHEGAAAAAAAA DE #CORRUPÇÃO vamos pra rua e vamos mostrar nossa força! #OGIGANTEACORDOU e não vai dormir mais.
Not Violence,Gostei de um vídeo @YouTube de @nilmoretto https://t.co/KSJy93LSDw O ESPÍRITO SANTO NO PÓS-APOCALIPSE - Ep.909
Not Violence,"RT @Bob_Fernandes: Hoje, nas longas matérias de sites de notícias, não se diz qual partido, e quem, governa o Espírito Santo. Alguém ai sab…"
Not Violence,Gostei de um vídeo @YouTube http://t.co/4osUXgG2Lw IMPARCIAL - #MudaBrasil
VeryHight,Atualiza\u00e7\u00e3o: Tiros intensos na Favela de Furquim Mendes. (17h45) #TirosRJ https://t.co/VpcgvPynTi
Not Violence,RT @_Nudescelebrity: Vem ver a piroca do carioca da favela da rocinha ����Siga o insta: _NudescelebrityCurta o Face: Nudes das Celebs https…
Not Violence,"Essa alice da Rocinha sai com quem daqui da mineira??? — Cm ninguém, mania feia das pessoas vim curti e fica... https://t.co/P78UgGkeVs"
Not Violence,Manifestantes pedem prisão de mensaleiros em São Paulo - Jornal O Globo http://t.co/E9oo5e5SaX @JornalOGlobo #FORAPTeCOMPARSAS #VEMPRARUA
Not Violence,RT @siteadpf: IBOPE: apenas 6% dos manifestantes saem às ruas contra a #PEC37. Transporte e política são principais causas http://t.co/0tzu…
High,"RT @tvjornalsbt: ""Morte"" denuncia a precariedade da BR-101, na Zona Sul do Recife https://t.co/RhGy3ouJGo https://t.co/kE84V6MpN1"
Not Violence,Algum informe sobre arrastão entre Madureira e Rocha Miranda?? @Rio_Acontece @InformeRJO @OperacoesRio @geniorj @AlertaAssaltoRJ
Not Violence,RT @lojacancaonova: Que tal rever por completo o seu relacionamento com o Espírito Santo? @evandronunessp Disponível em: https://t.co/O7aUP…
Not Violence,RT @_carmeloneto: Essa é pra você do Espírito Santo que pediu o fim da PM: chama a Jandira e o Jean Wylles pra defender você dos bandidos!!…
Not Violence,BLOG Livre Expressão - O Direito a Blogar · Article 19 http://t.co/QlqSA0PieU #Vemprarua #ProtestoPoa Brazil Porto Alegre STF POA
Not Violence,"Senado aprova, em votação simbólica, o projeto que transforma corrupção em crime hediondo http://t.co/IaXPWDpySZ #mudaBrasil"
Not Violence,Não moro na rocinha mas sigo faltando a escola
VeryHight,RT @nat_nati_naty: Carro de um amigo roubado agora na Estr do Realengo com a Murundu. Fox preto 4 pts - KVX5816. Se avistarem ligue 190.
Not Violence,#trânsitorj https://t.co/F5eC2SPuPw
VeryHight,"Veículo roubado hoje na Est porto nacional, em frente à clínica da família @LeiSecaRJ @AlertaAssaltoRJ @14BPM_PMERJ"
Not Violence,RT @SomenteRuivas: Sair de que jeito se nem sei o rumo para onde vou. Muito vagamente me lembro que estou em uma boate aqui na zona sul.O…
High,"RT @lcsecco: Escutei duas séries de tiro em #Ipanema entre Farme e Teixeira. Ouvi 6 tiros e, depois, 5 tiros. #Rio2016 Alguma notícia?"
Not Violence,RT @CLEconomize: Padoca no meio da madrugada em SP? Confira todos os endereços aqui: https://t.co/hvYWFXlG25 https://t.co/KS6FHErY1J
Not Violence,espirito santo nunca voltou p trends em tao pouco espaço de tempo
Not Violence,"RT @diegodemn: Até a imprensa tá sendo alvo no Espírito Santo! Do lado do mestre Álvaro. Depois alguém vem falar que é trote, mentirinha. C…"
Not Violence,Gostei de um vídeo @YouTube de @nilmoretto https://t.co/3352OgIkx2 O ESPÍRITO SANTO NO PÓS-APOCALIPSE - Ep.909
Not Violence,"@karoudantas Nossa, Ka. Isso foi onde? Quando, ontem a noite?"
VeryHight,"Das 36 mais afetadas por tiroteios, escola que mais vezes n\u00e3o abriu fica na Cidade de Deus. Ficou parada por 15 dia\u2026 https://t.co/mhO8zZPoqc"
Not Violence,VIDEO: How Turkish Protesters Deal with Teargas: http://t.co/BFaPtlEmGn #Turkey #Protest #NWO #TearGas #PoliceState
Not Violence,RT @Jeenys1: nós vamo vermelhar a rocinha ��
VeryHight,"@JuluanaEstrela2 Bom dia. Em que altura de Triagem foram os tiros, Rocha ou Benfica?"
VeryHight,"RT @MarcosPVBoas: @LeiSecaRJ @PMERJ 2 bandidos,acabaram de roubar um rapaz na R.Pache de Faria/Meier.Estão sem camisa e foram para 24/05."
Not Violence,RT @TInspireProject: Sending you our loving support #UseYourVoice #ChangeBrazil #TeamInspire #RockwithUs #PromotePeace #PlantPositivity✌ h…
Not Violence,Bagulho tá foda na Rocinha e no Juramento
VeryHight,"RT @LeiSecaRJ: RT @GmaiAntny: #Niteroi Assalto e tiros em loja da Vivo no Shopping Multicenter, Piratininga na frente do CISP."
Not Violence,Leticia grávida do espírito santo
High,"Irajá nas ruas próximas ao Metrô, está tendo assalto toda hora."
VeryHight,"RT @LeiSecaRJ: Atenção em Jacarepaguá RT @malvesrj: @viny_fm Acabei de escutar tiros vindos da Edgar Werneck, próximo a Retiro dos Artistas."
Not Violence,Meu amô ❤ @ Espiríto Santo https://t.co/b5jdkd9e6S
Not Violence,@lobastnczn Espírito Santo também!
Not Violence,MOSTRA A CARA FILHA DUMA PUTA #vemprarua
Not Violence,@RollembergPSB só agora deputado!? O povo teve que ir as ruas para o congresso nacional andar. O povo nao vai parar! #vemprarua
Not Violence,@AlertaAssaltoRJ @18BPM_PMERJ parabens a PM cadeia nesta bandudagem
Not Violence,"Amizade insubstituível #amizade #espiritosanto #parque #pixtão #selfie @ Espírito Santo,… https://t.co/O1Ij9kgxTZ"
Not Violence,RT @luckaz: DESMILITARIZAÇÃO JÁ #protestoBH #protestoRJ #protestoSP #protestoBA #protestoPA #protestoCE #protestoPE #protestoRS #protestoSC…
Not Violence,"I'm at Zona Sul - Ilhéus, BA in Ilhéus, BA https://t.co/It8WPjZqIF"
Not Violence,"RT @lightmethod: Lack of any law enforcement in Espírito Santo - Brazil, over 60 dead in 4 days, pillage and mayhem in this extended versi…"
VeryHight,@brigadamilitar_ RT @RdGaucha Um grupo depreda as bicicletas de aluguel no Largo Zumbi dos Palmares em Porto Alegre #protesto
Not Violence,"RT @IsaacNervoso: Parece q não é só a PM q está de greve no Espírito Santo não, a impresnsa também#PrayForEspiritoSanto #GuarapariPedeSoc…"
VeryHight,\u00daltimas 24h: tiros em ao menos 14 locais e uma pessoa morta. #TirosRJ #Balan\u00e7oDi\u00e1rio https://t.co/4yRHW4rkt4
Not Violence,#Lenka #visar #upp sitt #kök https://t.co/DzzV0iiA6G
VeryHight,"RT @OMundrongo: LEGADO CABRAL e BELTRAME:Rio de Janeiro hoje, a vagabundagem comemorando a ""retomada"" da Rocinha: https://t.co/c4f8oLOnB4"
Not Violence,Pra quem ñ sabe desta PEC: está #PEC33 é para impedir que o #STF condene os #VAGABUNDOS do #CONGRESSO http://t.co/dbt5QYRbvi
VeryHight,"RT @SPD_33: ��Bandidos pedem ""reforço"" para poder enfrentar a polícia na Favela da Rocinha. Veja os bandidos chegando... Um verdadeiro exérc…"
Not Violence,RT @William_Reall: A Tv manipula as pessoas mostrando que importante sao os jogos... Nao a reforma politica... #AcordaBrasil
Not Violence,absurdo #vemprarua etc RT @JornalOGlobo Rússia vai usar dinheiro público para erguer todos os estádios da Copa 2018. http://t.co/5RxQcDXD7U
Not Violence,"RT @DrFabioAugusto: #MomentoHistórico Com os olhos da sociedade em cima, AGORA todos se dizem contra a #PEC37, querendo fazer bonito.Cômico…"
VeryHight,"RT @MbMarllon: 🚌 da Linha 713 CabuçuxCoelhoNeto acaba de ser assaltado na Av Br sentido Z. Oeste, indivíduos desceram no Posto Mendanha."
Not Violence,RT @irmaoflash: Me embriagando até cairMe embriagando do espirito santo até cair nas graças do pai
Not Violence,"Recepcionista de Imobiliária - Imobiliária na Zona Sul de BH - Belo Horizonte, MG https://t.co/FVT1yGGmSv"
VeryHight,50 MORTOS NO ESPIRITO SANTO ~rindo enquanto fala~
Not Violence,RT @pdroloureiro: CARALHOOO EXATO EXATO O ESPÍRITO SANTO TODO TINHA QUE LER ISSO https://t.co/xDR6pWJtbh
Not Violence,RT @Lana_Rhodes: #mudabrasil #doiemtodosnos http://t.co/gz3wBesoW9
Not Violence,I liked a @YouTube video http://t.co/9v65A7NYiM TELEJORNAL IMPARCIAL - #MudaBrasil
VeryHight,Polícia tenta identificar acusados de roubo na Zona Sul. #Polícia #BandNewsFM https://t.co/Dz19wmdtul
Not Violence,@SergioRamos @anagabriela2015 Racista! Cabrón! #acordabrasil #Copa
High,RT @Fescudiere: A situação em Vila Isabel está crítica. Muitos menores aterrorizando mas o q importa p/ o nosso governo são as Olimpíadas.
VeryHight,"RT @PMERJ: ������VOCÊ viu aqui no Twitter da #PMERJ... Hoje, nossos heróis retiraram das ruas do RJ mais dois FUZIS, além de PISTOLAS, revólve…"
Not Violence,#OperacaoBetaLab #TimBeta #Beta #BetaLab #BetaAjudaBeta #BetaSegueBeta UOL: RedeTV: Pezão diz que agiu para evitar… https://t.co/iST9T5VRb4
Not Violence,Na Rocinha bagulho tá de verdade..
VeryHight,"Vejo o rosto dele nos outros', diz vítima estuprohttps://t.co/wkqI5jANhc"
Not Violence,Photo: Eu e Pedro na manifestação de sexta #oGiganteacordou #VerasQueUmFilhoTeuNaoFogeALuta http://t.co/DfK6jhd8nb
Not Violence,Eu moro no morro ela na zona sul
VeryHight,"Evitem RT @Belinhaaaas: Gente MUITO tiro agora na via light (.na altura do Bossa e da Lalu). Sentindo centro, carros e ônibus dando ré."
Not Violence,"@Dricka_Silvaa bom dia, Andrielly! pode informar o local dos tiros?"
Not Violence,"Eu moro no morro e ela na zona sul, sou negão e a patricinha é loira de olho azul"
Not Violence,RT @brufreiitass: féeee é zona sul 021 é cabelin na vozz
Not Violence,Bagulho ta doido no Espírito Santo
High,"RT @LeiSecaRJ: RT @aluiziooliveira: sons de tiros com certeza, vindo da praia #Ipanema"
Not Violence,Gostei de um vídeo @YouTube de @cauemoura https://t.co/49yvccBrII CAOS NO ESPÍRITO SANTO
Not Violence,RT @Gabiipvcs: Na tv só dar bgl de Rocinha
Not Violence,"Inclusive, zona sul, tem um vídeo pra vocês (ou feito por vocês?):https://t.co/c4I43bwuDi"
Not Violence,RT @estebangerbasi: Mensaje a FIFA fuera del estadio de Fortaleza #Brazil #protesto via @Reuters http://t.co/SLCLpKZVrZ #changebrazil
Not Violence,#Partiu #Protesto ##SP http://t.co/dornA3fMcz #Brasil #RJ
High,"RT @RadarCostaVerde: RT @JehMaronhas: @LeiSecaRJ comércio fechado em Olaria, próximo a Pedra do Sapo"
Not Violence,RT @vagnerrj21: Deus guarde aos meus amigos da Rocinha.
Not Violence,RT @matheusquiarely: Geral gastando mais Deus abençoe o Espírito Santo
High,"@britopri__ ol\u00e1, Priscila! esse tiroteio foi agora? sabe dizer em que local ele ocorreu?"
